6175.2013809    -0.0130556
6221.2313003    -0.0175000
6255.7537399    -0.0088889
6300.3452244    0.0022222
6344.9367089    0.0058333
6385.2128884    0.0155556
6419.7353280    0.0097222
6471.5189873    -0.0013889
6530.4948216    -0.0125000
6570.7710012    -0.0041667
6605.2934407    -0.0016667
6635.5005754    0.0025000
6675.7767549    0.0130556
6720.3682394    0.0075000
6754.8906789    0.0047222
6798.0437284    -0.0033333
6849.8273878    -0.0108333
6900.1726122    -0.0161111
6944.7640967    0.0011111
6979.2865362    0.0055556
7009.4936709    0.0052778
7039.7008055    0.0058333
7074.2232451    0.0097222
7114.4994246    0.0080556
7157.6524741    0.0033333
7210.8745685    -0.0011111
7254.0276180    -0.0086111
7284.2347526    -0.0066667
7324.5109321    -0.0127778
7364.7871116    -0.0069444
7394.9942463    -0.0050000
7433.8319908    0.0175000
7474.1081703    0.0105556
7508.6306099    0.0116667
7551.7836594    -0.0027778
7599.2520138    -0.0152778
7653.9125432    -0.0022222
7702.8193326    0.0086111
7748.8492520    0.0061111
7794.8791715    0.0047222
7829.4016110    0.0116667
7859.6087457    0.0038889
7888.3774453    -0.0022222
7934.4073648    -0.0038889
7978.9988493    -0.0119444
8019.2750288    -0.0047222
8058.1127733    -0.0044444
8098.3889528    -0.0022222
8144.4188723    0.0119444
8193.3256617    0.0102778
8246.5477560    0.0022222
8289.7008055    -0.0088889
