6.18E+03	2.95E+01	-1.31E-02	4.03E-03
6.22E+03	1.51E+01	-1.75E-02	5.69E-03
6.26E+03	1.95E+01	-8.89E-03	5.14E-03
6.30E+03	2.45E+01	2.22E-03	4.44E-03
6.34E+03	2.02E+01	5.83E-03	5.00E-03
6.39E+03	2.09E+01	1.56E-02	5.14E-03
6.42E+03	1.51E+01	9.72E-03	6.25E-03
6.47E+03	3.89E+01	-1.39E-03	4.86E-03
6.53E+03	2.02E+01	-1.25E-02	5.56E-03
6.57E+03	1.95E+01	-4.17E-03	5.42E-03
6.61E+03	1.59E+01	-1.67E-03	6.39E-03
6.64E+03	1.51E+01	2.50E-03	6.39E-03
6.68E+03	2.52E+01	1.31E-02	5.00E-03
6.72E+03	2.02E+01	7.50E-03	5.83E-03
6.75E+03	1.44E+01	4.72E-03	6.67E-03
6.80E+03	2.88E+01	-3.33E-03	5.00E-03
6.85E+03	2.45E+01	-1.08E-02	4.58E-03
6.90E+03	2.52E+01	-1.61E-02	5.42E-03
6.94E+03	2.02E+01	1.11E-03	5.42E-03
6.98E+03	1.51E+01	5.56E-03	5.97E-03
7.01E+03	1.51E+01	5.28E-03	5.83E-03
7.04E+03	1.44E+01	5.83E-03	5.97E-03
7.07E+03	1.95E+01	9.72E-03	5.42E-03
7.11E+03	2.02E+01	8.06E-03	5.42E-03
7.16E+03	2.38E+01	3.33E-03	4.86E-03
7.21E+03	2.88E+01	-1.11E-03	4.58E-03
7.25E+03	1.44E+01	-8.61E-03	5.97E-03
7.28E+03	1.59E+01	-6.67E-03	6.11E-03
7.32E+03	2.59E+01	-1.28E-02	4.72E-03
7.36E+03	1.59E+01	-6.94E-03	6.25E-03
7.39E+03	1.59E+01	-5.00E-03	5.97E-03
7.43E+03	2.67E+01	1.75E-02	4.86E-03
7.47E+03	1.51E+01	1.06E-02	6.67E-03
7.51E+03	2.02E+01	1.17E-02	5.69E-03
7.55E+03	2.31E+01	-2.78E-03	4.86E-03
7.60E+03	2.59E+01	-1.53E-02	4.72E-03
7.65E+03	3.03E+01	-2.22E-03	4.31E-03
7.70E+03	2.02E+01	8.61E-03	5.28E-03
7.75E+03	2.52E+01	6.11E-03	5.00E-03
7.79E+03	2.02E+01	4.72E-03	5.28E-03
7.83E+03	1.44E+01	1.17E-02	6.11E-03
7.86E+03	1.51E+01	3.89E-03	6.39E-03
7.89E+03	1.51E+01	-2.22E-03	6.53E-03
7.93E+03	2.38E+01	-3.89E-03	4.86E-03
7.98E+03	2.02E+01	-1.19E-02	5.14E-03
8.02E+03	1.95E+01	-4.72E-03	5.42E-03
8.06E+03	2.02E+01	-4.44E-03	5.83E-03
8.10E+03	2.02E+01	-2.22E-03	5.14E-03
8.14E+03	2.52E+01	1.19E-02	4.58E-03
8.19E+03	2.52E+01	1.03E-02	4.58E-03
8.25E+03	2.81E+01	2.22E-03	4.31E-03
8.29E+03	1.59E+01	-8.89E-03	6.94E-03
